rainfall_mm,temperature_c,humidity_pct,flood_pct_increase,hospital_cases_7d,case_surge_pct,citizen_reports_count,citizen_avg_risk_score,days_since_last_heavy_rain,water_stagnation_index,outbreak_risk_pct
134.22,33.32,51.13,17.32,85,37.02,18,21.76,0,16.4,28.5
333.0,24.44,58.76,48.9,78,18.03,2,15.81,4,29.18,47.53
257.54,31.22,53.15,30.21,102,51.96,17,17.97,5,24.43,46.91
211.54,31.71,60.59,27.7,10,-10.27,18,17.13,20,1.32,33.65
58.83,28.79,44.03,13.65,140,70.06,5,14.61,2,19.58,23.3
58.82,33.78,70.11,16.9,129,74.05,15,15.25,14,8.88,24.89
25.04,36.95,43.92,0.0,55,7.65,7,12.8,4,2.76,11.66
303.83,36.81,86.42,42.61,15,-0.98,17,11.25,13,22.15,44.93
212.38,29.21,53.56,31.73,195,111.24,42,18.34,17,0.14,37.72
249.29,23.81,71.32,38.79,189,103.31,38,30.43,15,19.74,50.46
12.1,37.76,91.04,0.0,131,67.17,11,23.52,5,15.03,23.09
339.62,35.42,77.75,53.06,144,75.14,44,30.19,13,28.63,58.09
292.19,23.99,70.91,41.46,77,41.1,9,34.7,7,30.93,49.57
78.26,36.73,58.81,11.67,6,-20.0,6,14.61,6,20.63,21.41
67.73,35.92,59.31,12.89,12,-18.1,0,13.92,7,10.81,19.88
68.27,30.3,78.83,10.27,143,83.62,35,20.41,12,12.61,23.17
109.96,31.46,97.66,14.31,128,60.57,20,39.17,5,36.65,29.21
186.04,28.38,78.39,27.36,57,25.2,36,16.24,17,6.49,35.69
154.02,22.88,72.35,22.66,232,148.26,23,16.21,1,23.13,35.82
105.47,27.36,82.38,13.97,14,-13.88,24,1.42,7,12.28,21.8
216.09,34.85,66.98,31.12,217,130.12,6,19.16,10,20.39,46.01
53.13,22.07,43.49,15.96,216,114.77,41,20.5,0,11.9,23.47
105.79,27.34,72.61,18.67,116,63.37,16,23.0,5,20.26,29.67
131.39,28.37,95.54,18.23,12,-10.4,28,19.3,15,15.2,25.4
162.34,30.6,50.17,27.84,40,10.45,29,18.79,19,0.0,29.51
275.89,36.72,80.02,39.71,225,124.84,6,23.03,11,25.09,54.89
73.89,27.54,51.65,16.95,110,40.04,32,13.9,10,8.16,25.68
182.41,27.55,71.08,29.21,208,122.69,6,23.19,9,24.62,39.8
209.38,33.8,45.61,30.87,18,-20.0,23,20.13,2,19.22,33.78
21.03,29.24,66.12,5.39,244,140.13,10,4.49,12,1.29,23.44
214.6,25.59,83.86,24.34,186,111.53,8,19.35,2,28.8,43.36
63.83,29.24,60.16,3.94,246,145.54,11,4.81,14,1.94,23.5
27.44,24.25,78.56,0.0,217,140.25,34,11.55,15,4.67,24.37
332.37,24.82,86.14,50.57,90,48.2,3,19.19,12,29.87,55.16
338.14,29.97,93.78,59.38,153,76.77,35,46.48,16,32.62,58.52
283.9,28.7,53.61,53.74,240,140.22,27,26.57,2,29.87,57.75
110.09,36.64,63.16,19.7,54,15.62,12,7.63,19,5.0,28.79
38.7,27.8,48.84,8.31,226,118.01,22,9.84,10,9.07,22.74
241.06,31.29,97.56,27.15,171,86.48,18,17.34,20,13.07,44.77
